Date,Symbol,Open,High,Low,Close,Volume,Turnover
2007-11-27,MUNDRAPORT,770,1050,770,962.9,27294366,2687719053785000
2007-11-28,MUNDRAPORT,984,990,874,893.9,4581338,431276530165000
2007-11-29,MUNDRAPORT,909,914.75,841,884.2,5124121,455065846265000
2007-11-30,MUNDRAPORT,890,958,890,921.55,4609762,428325662830000
2007-12-03,MUNDRAPORT,939.75,995,922,969.3,2977470,287519974300000
2007-12-04,MUNDRAPORT,985,1056,976,1041.45,4849250,492386736075000
2007-12-05,MUNDRAPORT,1061,1099.5,1050,1082.45,2848209,308400973015000
2007-12-06,MUNDRAPORT,1089,1109.7,1051,1081.3,1749516,190177114020000
2007-12-07,MUNDRAPORT,1100,1134,1078,1102.4,2247904,248746530710000
2007-12-10,MUNDRAPORT,1110,1110,1061.1,1075.4,1012350,109372679360000
2007-12-11,MUNDRAPORT,1081,1089,1041,1047.65,810464,86541556460000
2007-12-12,MUNDRAPORT,1032,1065,1016,1036.8,744799,77751369165000
2007-12-13,MUNDRAPORT,1040,1150,1030.25,1129.95,3067687,340233907520000
2007-12-14,MUNDRAPORT,1139.9,1140,1101.1,1110.5,1070737,119874627765000
2007-12-17,MUNDRAPORT,1140,1168,1021.5,1044.25,1404955,154884767715000
2007-12-18,MUNDRAPORT,1045,1109.9,1031.55,1074.95,1226984,132249513310000
2007-12-19,MUNDRAPORT,1091,1116,1046.3,1066.9,845666,91579757645000
2007-12-20,MUNDRAPORT,1083.5,1083.5,1051,1060.2,623288,66412706110000
2007-12-24,MUNDRAPORT,1095,1192,1085.25,1156.8,2060892,239221361310000
2007-12-26,MUNDRAPORT,1175,1214,1148,1199.9,1467031,173593856540000
2007-12-27,MUNDRAPORT,1215,1240,1204,1211.65,977495,119506465945000
2007-12-28,MUNDRAPORT,1189.4,1274,1175,1249.1,1164138,142177280540000
2007-12-31,MUNDRAPORT,1263.35,1295,1261,1268.8,737249,94194213815000
2008-01-01,MUNDRAPORT,1279,1319,1263.7,1296.85,491348,63173462100000
2008-01-02,MUNDRAPORT,1310.25,1324,1270,1307.45,703815,91647340425000
2008-01-03,MUNDRAPORT,1305,1314.7,1261.15,1275.8,505058,65114250075000
2008-01-04,MUNDRAPORT,1278.8,1294.8,1233,1240.35,550795,69181674340000
2008-01-07,MUNDRAPORT,1240,1278.9,1215,1227.25,630963,78539769975000
2008-01-08,MUNDRAPORT,1240,1255,1185,1204.8,530499,64565951270000
2008-01-09,MUNDRAPORT,1200,1210,1151,1180.25,627507,73818313330000
2008-01-10,MUNDRAPORT,1185,1199.8,1110,1121.55,438806,50745246590000
2008-01-11,MUNDRAPORT,1128,1130,1063,1085.85,616938,67109272025000
2008-01-14,MUNDRAPORT,1082.4,1082.4,1031.1,1035.15,835916,87135710755000
2008-01-15,MUNDRAPORT,1045.6,1078.7,1036.05,1049.55,830493,87259337110000
2008-01-16,MUNDRAPORT,1046,1064,1000,1030.4,816188,84300609685000
2008-01-17,MUNDRAPORT,1050,1053.5,1011,1020.9,336003,34733490900000
2008-01-18,MUNDRAPORT,1010,1072,974.9,994.6,676854,69213280915000
2008-01-21,MUNDRAPORT,995,1005,795.7,825.05,788623,69459899855000
2008-01-22,MUNDRAPORT,700,810,660.05,735.55,546161,38406113705000
2008-01-23,MUNDRAPORT,760,881.9,760,857,535462,43836526980000
2008-01-24,MUNDRAPORT,875,935,812,814.15,511017,43683319425000
2008-01-25,MUNDRAPORT,820,883,820,865.7,404045,34680333860000
2008-01-28,MUNDRAPORT,835,835,783.2,820.8,467052,37568552380000
2008-01-29,MUNDRAPORT,840,860,820.05,840.75,220070,18513823345000
2008-01-30,MUNDRAPORT,849.8,864,822.25,830.45,286190,23863110660000
2008-01-31,MUNDRAPORT,831,849.9,812.55,837.65,194300,16196555895000
2008-02-01,MUNDRAPORT,831.65,852.3,820,825.35,204391,16925451805000
2008-02-04,MUNDRAPORT,847.9,872.4,840,856.1,280230,24065208695000
2008-02-05,MUNDRAPORT,856,857,830,834.3,162093,13649192020000
2008-02-06,MUNDRAPORT,803,824.9,780,807.5,193260,15663794125000
2008-02-07,MUNDRAPORT,825,830,792,796.25,212932,17237575975000
2008-02-08,MUNDRAPORT,810,830,765.15,784.05,285025,22274252000000
2008-02-11,MUNDRAPORT,785,785,695,711.2,223955,16488264325000
2008-02-12,MUNDRAPORT,725,734.95,655.6,681.3,303409,20673577510000
2008-02-13,MUNDRAPORT,815.9,815.9,664,670.95,214900,14649214640000
2008-02-14,MUNDRAPORT,680,714,680,709.8,269032,18959036175000
2008-02-15,MUNDRAPORT,700,763.7,681.25,728.75,353049,25921872820000
2008-02-18,MUNDRAPORT,735,775,735,771.6,342580,26115882900000
2008-02-19,MUNDRAPORT,779,786.9,760.2,763.9,137412,10611555840000
2008-02-20,MUNDRAPORT,750,760,720,732.1,197489,14428706935000
2008-02-21,MUNDRAPORT,762,762,730.1,737.6,125558,9310465240000
2008-02-22,MUNDRAPORT,723,737,715,724,81070,5889922195000
2008-02-25,MUNDRAPORT,725.05,758.9,702.3,707.65,152803,10875065635000
2008-02-26,MUNDRAPORT,725,744,713,735.8,251269,18436350425000
2008-02-27,MUNDRAPORT,749.7,783.4,741,746.4,305320,23279802440000
2008-02-28,MUNDRAPORT,740,754.9,725.05,737.75,112491,8312092510000
2008-02-29,MUNDRAPORT,738,761,725.4,735.65,203872,15145219430000
2008-03-03,MUNDRAPORT,725,725,692.3,699.25,182510,12945690220000
2008-03-04,MUNDRAPORT,705,708.95,642,669.25,400996,26623302560000
2008-03-05,MUNDRAPORT,668,672,636,640.9,263263,17100941085000
2008-03-07,MUNDRAPORT,630,630,577,609.75,452949,26986121065000
2008-03-10,MUNDRAPORT,600,610,508.15,601.15,235966,13894538005000
2008-03-11,MUNDRAPORT,593,635.75,575,623.7,226830,14136860045000
2008-03-12,MUNDRAPORT,640,649.95,591,602.9,210739,13183947915000
2008-03-13,MUNDRAPORT,585,600,562.05,566.3,165515,9599534985000
2008-03-14,MUNDRAPORT,569,577,554.05,561,157189,8818501820000
2008-03-17,MUNDRAPORT,549,549,507,511.45,201577,10566516110000
2008-03-18,MUNDRAPORT,505,525,490,502.4,257617,13021808800000
2008-03-19,MUNDRAPORT,530,530,495,497.75,196021,9997139760000
2008-03-24,MUNDRAPORT,502,505.9,465,469.2,542915,25784230490000
2008-03-25,MUNDRAPORT,475,505,465.05,497.15,746747,36815038900000
2008-03-26,MUNDRAPORT,502,522,490.25,504.05,278415,14159353055000
2008-03-27,MUNDRAPORT,496.1,521,486,516,359725,18453410400000
2008-03-28,MUNDRAPORT,515,619.2,515,619.2,1546339,89398999150000
2008-03-31,MUNDRAPORT,625,673.4,570,578.75,2134980,134400978745000
2008-04-01,MUNDRAPORT,585,617,584.75,592.2,728839,43613566470000
2008-04-02,MUNDRAPORT,623.8,633.4,601,608.35,867551,53324256475000
2008-04-03,MUNDRAPORT,611,621.4,592.1,602.3,780026,47269009130000
2008-04-04,MUNDRAPORT,614,614,585,593.2,386898,22996381935000
2008-04-07,MUNDRAPORT,595,605.3,570,593.4,466172,27531786910000
2008-04-08,MUNDRAPORT,625,625,585.1,589.65,217730,12863012140000
2008-04-09,MUNDRAPORT,580.5,623,575.15,597.75,507422,30740860080000
2008-04-10,MUNDRAPORT,615,615,586,608.6,495019,30192522510000
2008-04-11,MUNDRAPORT,610,620,605,610.2,301522,18474226790000
2008-04-15,MUNDRAPORT,605,650,600,642.55,732463,46166191445000
2008-04-16,MUNDRAPORT,657,662,632,637.4,440549,28549839940000
2008-04-17,MUNDRAPORT,648.8,659.4,621.05,626.35,442496,28449935250000
2008-04-21,MUNDRAPORT,640,654.95,633.1,645.15,257175,16579379110000
2008-04-22,MUNDRAPORT,640,673.4,638.15,665.85,574697,38024968270000
2008-04-23,MUNDRAPORT,675,677.9,652.4,666.7,362552,24105041295000
2008-04-24,MUNDRAPORT,668,677.85,658.1,665.25,255828,17016807785000
2008-04-25,MUNDRAPORT,670,718,659.1,712.15,1510614,105830561130000
2008-04-28,MUNDRAPORT,725,741.1,703,736.45,1072156,78031732120000
2008-04-29,MUNDRAPORT,738.25,748,711.1,740.6,600573,43788548835000
2008-04-30,MUNDRAPORT,740,774,715,760.15,731082,55564377910000
2008-05-02,MUNDRAPORT,766.25,788,763.65,766.65,607475,47135810255000
2008-05-05,MUNDRAPORT,681.7,781.7,681.7,754.4,248543,19097499220000
2008-05-06,MUNDRAPORT,730,767.9,725.1,757.9,418643,31587775900000
2008-05-07,MUNDRAPORT,762,774.5,745,768.5,295381,22602357400000
2008-05-08,MUNDRAPORT,760,785,752,781.5,422630,32605189215000
2008-05-09,MUNDRAPORT,770.45,803.75,770,783.75,657740,51809148855000
2008-05-12,MUNDRAPORT,719.2,814.8,719.2,807.55,1245745,99393371935000
2008-05-13,MUNDRAPORT,818.4,827.5,786.15,792.85,469124,37911943770000
2008-05-14,MUNDRAPORT,790,802.25,782,789.2,168459,13351379500000
2008-05-15,MUNDRAPORT,795,808.9,785,790.85,139664,11139619770000
2008-05-16,MUNDRAPORT,795,800,771.2,775.6,184836,14511524465000
2008-05-20,MUNDRAPORT,776,904.7,770,884.05,3561137,304592997835000
2008-05-21,MUNDRAPORT,894.55,926,869.8,901.35,2516620,227335329180000
2008-05-22,MUNDRAPORT,897.8,914.95,868.05,884.4,1339876,119622710365000
2008-05-23,MUNDRAPORT,890,904,846,853.65,691813,60783626395000
2008-05-26,MUNDRAPORT,848.45,905.4,829,887.45,1011808,87893692865000
2008-05-27,MUNDRAPORT,909.9,926,860.4,873.05,1280280,113908133455000
2008-05-28,MUNDRAPORT,873,883,835,841,617676,53070812015000
2008-05-29,MUNDRAPORT,851.15,867.9,829.15,834.85,447906,38081198430000
2008-05-30,MUNDRAPORT,843.1,847.7,760,790.4,851156,67631655690000
2008-06-02,MUNDRAPORT,795.5,827,760.05,765.8,849170,67395807980000
2008-06-03,MUNDRAPORT,741,769.9,733.35,739.4,532850,39777497035000
2008-06-04,MUNDRAPORT,742,755.7,692.25,702.2,383088,27798374550000
2008-06-05,MUNDRAPORT,701,708.9,635.1,657.55,715963,47464091530000
2008-06-06,MUNDRAPORT,669.9,681.25,635,639.6,568394,37431997125000
2008-06-09,MUNDRAPORT,620,626,591.3,612.6,461334,28006092675000
2008-06-10,MUNDRAPORT,599.2,618.85,580,589.25,517227,30963215125000
2008-06-11,MUNDRAPORT,598,631.4,595.2,607.1,768360,47045842185000
2008-06-12,MUNDRAPORT,597.9,604.4,570,593.5,506097,29794772310000
2008-06-13,MUNDRAPORT,593.5,614.9,592.2,600.3,511556,30871643985000
2008-06-16,MUNDRAPORT,610,639.8,606.05,620.9,962136,60411749560000
2008-06-17,MUNDRAPORT,621,634.75,612,630.6,346842,21789707725000
2008-06-18,MUNDRAPORT,630.6,659,625.2,628.9,694398,44763123895000
2008-06-19,MUNDRAPORT,618,654,611.55,649.15,749162,47919951970000
2008-06-20,MUNDRAPORT,653.85,660.9,620,624.25,716333,45910845720000
2008-06-23,MUNDRAPORT,620,620,562.05,571.05,839833,48900245000000
2008-06-24,MUNDRAPORT,573.55,590,563.95,568.7,673358,38760383730000
2008-06-25,MUNDRAPORT,560,563,541.1,549.7,652878,35916734270000
2008-06-26,MUNDRAPORT,586,586,525,528.45,658769,35803847985000
2008-06-27,MUNDRAPORT,505,513.85,488.35,496,680667,34060791590000
2008-06-30,MUNDRAPORT,496,510.1,488.8,494.15,382763,19080619280000
2008-07-01,MUNDRAPORT,500,505,475,478.15,265866,12901763885000
2008-07-02,MUNDRAPORT,439,509.95,388.1,481.3,1975470,87235144070000
2008-07-03,MUNDRAPORT,471,472,424,443.35,1008223,44939310745000
2008-07-04,MUNDRAPORT,449,459.9,433.1,450.4,531265,23823614335000
2008-07-07,MUNDRAPORT,455.5,494,455.5,467.35,544362,25827984415000
2008-07-08,MUNDRAPORT,457,478.9,425,459.45,597851,27748735435000
2008-07-09,MUNDRAPORT,479,551.35,471,551.35,2351043,123153255100000
2008-07-10,MUNDRAPORT,560,602.95,560,567.75,3422840,199666621615000
2008-07-11,MUNDRAPORT,570,580,538.15,546.35,937650,52470071900000
2008-07-14,MUNDRAPORT,540,572,528.35,534.9,1110512,61177377480000
2008-07-15,MUNDRAPORT,530,531,485,488,832634,42302544455000
2008-07-16,MUNDRAPORT,475,506,470.1,478.2,739517,35957870985000
2008-07-17,MUNDRAPORT,499,505,463,478.75,601137,28991819625000
2008-07-18,MUNDRAPORT,485,493.4,461,467.4,861368,40654395495000
2008-07-21,MUNDRAPORT,470,488.8,460,476.35,682113,32515603940000
2008-07-22,MUNDRAPORT,485,525.9,475,516.45,1505465,76810921420000
2008-07-23,MUNDRAPORT,539.95,568.8,539.95,553.55,889636,49233961625000
2008-07-24,MUNDRAPORT,563.3,593,555.05,584.6,1134530,65878244915000
2008-07-25,MUNDRAPORT,575,610.9,551.15,587.8,1464874,86584587325000
2008-07-28,MUNDRAPORT,580,606.95,580,588.45,746465,44417664110000
